!XU,p
!XU,t
!XU,k
!XU,ph
!XU,th
!XU,kh
!XU,t\'
!XU,k\'
!XU,b
!XU,d
!XU,g
!XU,gh
!XU,d-
!XU,b\'
!XU,d\'
!XU,g\'
!XU,ts
!XU,tsh
!XU,ts-
!XU,ts\'
!XU,dzh
!XU,dz-
!XU,tS
!XU,tSh
!XU,tS-
!XU,tS\'
!XU,dZh
!XU,dZ-
!XU,dZ\'
!XU,s
!XU,S
!XU,x
!XU,z
!XU,Z
!XU,hh
!XU,m
!XU,n
!XU,N
!XU,mh
!XU,m*
!XU,m:
!XU,N9
!XU,r[
!XU,w
!XU,j
!XU,|
!XU,|x
!XU,|h
!XU,hn|?
!XU,hn|x?
!XU,g|x
!XU,g|x?
!XU,g|h
!XU,n|
!XU,n|h
!XU,/
!XU,/x
!XU,/h
!XU,hn/?
!XU,hn/h
!XU,g/
!XU,g/x
!XU,g/h
!XU,g/x?
!XU,n/
!XU,n/h
!XU,/=
!XU,/=x
!XU,/=h
!XU,hn/=?
!XU,hn/=x?
!XU,hn/=h
!XU,g/=
!XU,g/=x
!XU,g/=h
!XU,g/=x?
!XU,#j
!XU,#jx
!XU,#jh
!XU,hn#j?
!XU,hn#jx?
!XU,hn#jh
!XU,g#j
!XU,g#jx
!XU,g#jh
!XU,g#jx?
!XU,n/=
!XU,n/=h
!XU,n#j
!XU,n#jh
!XU,i
!XU,\"e
!XU,a9
!XU,a
!XU,\"o9
!XU,\"o
!XU,u
!XU,i:
!XU,\"e:
!XU,a9:
!XU,a:
!XU,\"o9:
!XU,\"o:
!XU,u:
!XU,i~
!XU,a9~
!XU,a~
!XU,\"o~
!XU,u~
!XU,a9~:
!XU,a~:
!XU,O9~:
!XU,u~:
!XU,ei
!XU,ei~
!XU,eu~
!XU,ae9
!XU,ao9
!XU,ao9~
!XU,ae
!XU,ao
!XU,oi9
!XU,oi9~
!XU,oi
!XU,oi~
!XU,ia
!XU,oa9
!XU,oa9~
!XU,oe
!XU,oa
!XU,oa~
!XU,ui
!XU,ui~
!XU,t-
!XU,dz\'
!XU,hn|h
!XU,hn/x?
!XU,\"o9~
!XU,eu
!XU,ae9~
!XU,g|
ABIPON,p
ABIPON,\"t
ABIPON,k
ABIPON,q
ABIPON,tS
ABIPON,gF
ABIPON,RF
ABIPON,h
ABIPON,m
ABIPON,\"n
ABIPON,nj
ABIPON,\"l
ABIPON,\"rr
ABIPON,j
ABIPON,w
ABIPON,i
ABIPON,\"e
ABIPON,a
ABIPON,\"o
ABIPON,i_
ACHE,p
ACHE,\"t
ACHE,k
ACHE,mb
ACHE,\"nd
ACHE,Ng
ACHE,tS
ACHE,dZ
ACHE,B
ACHE,m
ACHE,\"l[
ACHE,i
ACHE,\"e
ACHE,a
ACHE,\"o
ACHE,i~
ACHE,\"e~
ACHE,a~
ACHE,\"o~
ACHE,u~
ACHE,u
ACHUMAWI,p
ACHUMAWI,t
ACHUMAWI,k
ACHUMAWI,q
ACHUMAWI,?
ACHUMAWI,dZ
ACHUMAWI,s
ACHUMAWI,S
ACHUMAWI,x
ACHUMAWI,X
ACHUMAWI,h
ACHUMAWI,w
ACHUMAWI,\"rr
ACHUMAWI,l
ACHUMAWI,j
ACHUMAWI,i
ACHUMAWI,\"e
ACHUMAWI,a
ACHUMAWI,\"o
ACHUMAWI,u
ACHUMAWI,\"@
ACHUMAWI,m
ACHUMAWI,\"n
ACOMA,b
ACOMA,dD
ACOMA,dj
ACOMA,g
ACOMA,?
ACOMA,ph
ACOMA,tDh
ACOMA,ch
ACOMA,kh
ACOMA,p\'
ACOMA,tD\'
ACOMA,c\'
ACOMA,k\'
ACOMA,dDz
ACOMA,tDsh
ACOMA,tDs\'
ACOMA,dZ
ACOMA,tSh
ACOMA,tS\'
ACOMA,d.z
ACOMA,t.sh
ACOMA,t.s\'
ACOMA,sD
ACOMA,S
ACOMA,CACOMA,s.
ACOMA,s.\'
ACOMA,m
ACOMA,m*
ACOMA,nD
ACOMA,nD*
ACOMA,h
ACOMA,w*
ACOMA,w
ACOMA,rDT
ACOMA,rDT*
ACOMA,j
ACOMA,j*
ACOMA,i
ACOMA,E
ACOMA,a+
ACOMA,i_
ACOMA,u
ACOMA,ei
ACOMA,ai
ACOMA,ui
ACOMA,i_i
ACOMA,eo
ACOMA,iu
ACOMA,au
ACOMA,sD\'
ADZERA,ph
ADZERA,b
ADZERA,\"th
ADZERA,\"d
ADZERA,kh
ADZERA,g
ADZERA,?
ADZERA,m
ADZERA,\"n
ADZERA,N
ADZERA,f
ADZERA,\"s
ADZERA,h
ADZERA,\"tsh
ADZERA,\"dz
ADZERA,\"r
ADZERA,j
ADZERA,gA
ADZERA,i
ADZERA,a
ADZERA,\"o
ADZERA,\"o:
ADZERA,i:
ADZERA,a:
ADZERA,uu
AGHEM,t
AGHEM,k
AGHEM,kp
AGHEM,?
AGHEM,b
AGHEM,d
AGHEM,g
AGHEM,gb
AGHEM,m
AGHEM,n
AGHEM,nj
AGHEM,N
AGHEM,Nm
AGHEM,gF
AGHEM,s
AGHEM,z
AGHEM,bv
AGHEM,ts
AGHEM,tS
AGHEM,dz
AGHEM,dZ
AGHEM,l
AGHEM,j
AGHEM,w
AGHEM,i
AGHEM,I
AGHEM,e
AGHEM,E
AGHEM,a
AGHEM,a_)
AGHEM,O
AGHEM,o
AGHEM,U
AGHEM,u
AGHEM,f
AHTNA,th
AHTNA,kh
AHTNA,qh
AHTNA,?
AHTNA,t\'
AHTNA,k\'
AHTNA,q\'
AHTNA,b
AHTNA,d
AHTNA,g
AHTNA,G
AHTNA,tlFh
AHTNA,tlF\'
AHTNA,dlF
AHTNA,tsh
AHTNA,ts\'
AHTNA,dz
AHTNA,hlF
AHTNA,X
AHTNA,h
AHTNA,lF
AHTNA,RF
AHTNA,s
AHTNA,z
AHTNA,m
AHTNA,n
AHTNA,N
AHTNA,hj
AHTNA,hw
AHTNA,j
AHTNA,i
AHTNA,\"e
AHTNA,a
AHTNA,\"o
AHTNA,u
AINU,p
AINU,t
AINU,k
AINU,tS
AINU,s
AINU,m
AINU,n
AINU,h
AINU,i
AINU,E
AINU,a
AINU,u
AINU,O
AINU,j
AINU,w
AINU,r[
AIZI,p
AIZI,t
AIZI,c
AIZI,k
AIZI,kp
AIZI,b
AIZI,d
AIZI,dj
AIZI,g
AIZI,gb
AIZI,b<
AIZI,f
AIZI,v
AIZI,s
AIZI,S
AIZI,z
AIZI,Z
AIZI,m
AIZI,n
AIZI,nj
AIZI,N
AIZI,l
AIZI,j
AIZI,w
AIZI,i
AIZI,I
AIZI,e
AIZI,E
AIZI,a
AIZI,^
AIZI,o
AIZI,UU
AIZI,u
AKAN,ph
AKAN,b
AKAN,kh
AKAN,g
AKAN,cC
AKAN,cCW
