!,consonant
!,click
!,voiceless
!,palato-alveolar
!?,consonant
!?,click
!?,glottalized
!?,voiceless
!?,palatal-alveolar
!h,consonant
!h,click
!h,voiceless
!h,aspirated
!h,palatal-alveolar
!xh,consonant
!xh,click
!xh,velar-fricated
!xh,voiceless
!xh,aspirated
!xh,palato-alveolar
?,consonant
?,plosive
?,glottal
??,consonant
??,plosive
??,voiced
??,glottal
?9,consonant
?9,plosive
?9,pharyngealized
?9,glottal
?W,consonant
?W,plosive
?W,labialized
?W,glottal
{@,vowel
{@:,vowel
{@:,LONG
{@.,vowel
{@.,up
{@),vowel
{@),rounded
{@)S,vowel
{@)S,SHORTENED
{@)S,rounded
{@~,vowel
{@~,nasal
{@S,vowel
{@S,SHORTENED
{6,consonant
{6,fricative
{6,voiced
{6,dental/alveolar
{d,consonant
{d,plosive
{d,voiced
{d,dental/alveolar
{d*,consonant
{d*,plosive
{d*,8laryngealized
{d*,voiced
{d*,dental/alveolar
{d<,consonant
{d<,plosive
{d<,voiced
{d<,dental/alveolar
{d<,implosive
{d9,consonant
{d9,plosive
{d9,pharyngealized
{d9,voiced
{d9,dental/alveolar
{dh,consonant
{dh,plosive
{dh,breathy
{dh,voiced
{dh,dental/alveolar
{dJ,consonant
{dJ,plosive
{dJ,8palatalized
{dJ,voiced
{dJ,dental/alveolar
{dlF,consonant
{dlF,affricate
{dlF,voiced
{dlF,dental/alveolar
{dlF,lateral
{dW,consonant
{dW,plosive
{dW,labialized
{dW,voiced
{dW,dental/alveolar
{dz,consonant
{dz,affricate
{dz,voiced
{dz,dental/alveolar
{dz,sibilant
{dzh,consonant
{dzh,affricate
{dzh,breathy
{dzh,voiced
{dzh,dental/alveolar
{dzh,sibilant
{dzJ,consonant
{dzJ,affricate
{dzJ,palatalized
{dzJ,voiced
{dzJ,dental/alveolar
{dzJ,sibilant
{e,vowel
{e,front
{e_,vowel
{e_,RETRACTED
{e_,front
{e:,vowel
{e:,LONG
{e:,front
{e*,vowel
{e*,constricted
{e*,front
{e~,vowel
{e~,nasal
{e~,front
{e~*,vowel
{e~*,constricted
{e~*,nasal
{e~*,front
{e9,vowel
{e9,raised
{e9,front
{eS,vowel
{eS,SHORTENED
{eS,front
{he,vowel
{he,spread
{he,front
{hl,consonant
{hl,approximant
{hl,voiceless
{hl,dental/alveolar
{hl,lateral
{hlF,consonant
{hlF,fricative
{hlF,voiceless
{hlF,dental/alveolar
{hlF,lateral
{hlF:,consonant
{hlF:,fricative
{hlF:,long
{hlF:,voiceless
{hlF:,dental/alveolar
{hlF:,lateral
{hlF&,consonant
{hlF&,fricative
{hlF&,voiceless
{hlF&,dental/alveolar
{hlF&,lateral
{hlF&,ejective
{hlFJ,consonant
{hlFJ,fricative
{hlFJ,palatalized
{hlFJ,voiceless
{hlFJ,dental/alveolar
{hlFJ,lateral
{hlFW,consonant
{hlFW,fricative
