phoneme,feature
3,lower
3,mid
3,central
3,unrounded
xx@,mid
xx@,central
xx@,unrounded
xx@~,nasalized
xx@~,mid
xx@~,central
xx@~,unrounded
xxe,mid
xxe,front
xxe,unrounded
xxe~,nasalized
xxe~,mid
xxe~,front
xxe~,unrounded
xxo,mid
xxo,back
xxo,rounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
a+,low
a+,front
a+,unrounded
a+~,nasalized
a+~,low
a+~,front
a+~,unrounded
a_),low
a_),back
a_),rounded
a_~,nasalized
a_~,low
a_~,back
a_~,unrounded
i,high
i,front
i,unrounded
i_,high
i_,central
i_,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
u,high
u,back
u,rounded
