phoneme,feature
3,lower
3,mid
3,central
3,unrounded
3~,nasalized
3~,lower
3~,mid
3~,central
3~,unrounded
E,lower
E,mid
E,front
E,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
I,lowered
I,high
I,front
I,unrounded
I~,nasalized
I~,lowered
I~,high
I~,front
I~,unrounded
O,lower
O,mid
O,back
O,rounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
U,lowered
U,high
U,back
U,rounded
U~,nasalized
U~,lowered
U~,high
U~,back
U~,rounded
a,low
a,central
a,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
i,high
i,front
i,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
u,high
u,back
u,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
