phoneme,feature
..e,mid
..e,front
..e,unrounded
..e~,nasalized
..e~,mid
..e~,front
..e~,unrounded
a,low
a,central
a,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
i,high
i,front
i,unrounded
i_,high
i_,central
i_,unrounded
i_~,nasalized
i_~,high
i_~,central
i_~,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
o,higher
o,mid
o,back
o,rounded
o~,nasalized
o~,higher
o~,mid
o~,back
o~,rounded
u,high
u,back
u,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
