phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
..e,mid
..e,front
..e,unrounded
..e~,nasalized
..e~,mid
..e~,front
..e~,unrounded
..o,mid
..o,back
..o,rounded
..o/,mid
..o/,front
..o/,rounded
a_,low
a_,back
a_,unrounded
a_~,nasalized
a_~,low
a_~,back
a_~,unrounded
i,high
i,front
i,unrounded
o,higher
o,mid
o,back
o,rounded
u,high
u,back
u,rounded
y,high
y,front
y,rounded
