phoneme,feature
E,lower
E,mid
E,front
E,unrounded
Eh,breathy
Eh,voiced
Eh,lower-mid
Eh,front
Eh,unrounded
O,lower
O,mid
O,back
O,rounded
Oh,breathy
Oh,voiced
Oh,lower-mid
Oh,back
Oh,rounded
^,lower
^,mid
^,back
^,unrounded
^h,breathy
^h,voiced
^h,lower
^h,mid
^h,back
^h,unrounded
a,low
a,central
a,unrounded
a_),low
a_),back
a_),rounded
a_)h,breathy
a_)h,voiced
a_)h,low
a_)h,back
a_)h,rounded
ah,breathy
ah,voiced
ah,low
ah,central
ah,unrounded
e,higher
e,mid
e,front
e,unrounded
eh,breathy
eh,voiced
eh,higher
eh,mid
eh,front
eh,unrounded
i,high
i,front
i,unrounded
ih,breathy
ih,voiced
ih,high
ih,front
ih,unrounded
o,higher
o,mid
o,back
o,rounded
o(,higher
o(,mid
o(,back
o(,unrounded
o(h,breathy
o(h,voiced
o(h,higher
o(h,mid
o(h,back
o(h,unrounded
oh,breathy
oh,voiced
oh,higher
oh,mid
oh,back
oh,rounded
u,high
u,back
u,rounded
uh,breathy
uh,voiced
uh,high
uh,back
uh,rounded
uu,high
uu,back
uu,unrounded
uuh,breathy
uuh,voiced
uuh,high
uuh,back
uuh,unrounded
