phoneme,feature
a,low
a,central
a,unrounded
a:,long
a:,low
a:,central
a:,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
a~:,long
a~:,nasalized
a~:,low
a~:,central
a~:,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
i~:,long
i~:,nasalized
i~:,high
i~:,front
i~:,unrounded
o,higher
o,mid
o,back
o,rounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
u~:,long
u~:,nasalized
u~:,high
u~:,back
u~:,rounded
