phoneme,feature
3,lower
3,mid
3,central
3,unrounded
@,higher
@,mid
@,central
@,unrounded
E,lower
E,mid
E,front
E,unrounded
O,lower
O,mid
O,back
O,rounded
xx@~,nasalized
xx@~,mid
xx@~,central
xx@~,unrounded
xxe~,nasalized
xxe~,mid
xxe~,front
xxe~,unrounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
a,low
a,central
a,unrounded
a+,low
a+,front
a+,unrounded
a+~,nasalized
a+~,low
a+~,front
a+~,unrounded
a_),low
a_),back
a_),rounded
a_)~,nasalized
a_)~,low
a_)~,back
a_)~,rounded
a~,nasalized
a~,low
a~,central
a~,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
i_,high
i_,central
i_,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
o,higher
o,mid
o,back
o,rounded
u,high
u,back
u,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
