phoneme,feature
E*,laryngealized
E*,lower
E*,mid
E*,front
E*,unrounded
Eh,breathy
Eh,voiced
Eh,lower-mid
Eh,front
Eh,unrounded
O*,laryngealized
O*,lower
O*,mid
O*,back
O*,rounded
Oh,breathy
Oh,voiced
Oh,lower-mid
Oh,back
Oh,rounded
a*,laryngealized
a*,low
a*,central
a*,unrounded
ah,breathy
ah,voiced
ah,low
ah,central
ah,unrounded
e*,laryngealized
e*,higher
e*,mid
e*,front
e*,unrounded
eh,breathy
eh,voiced
eh,higher
eh,mid
eh,front
eh,unrounded
i*,laryngealized
i*,high
i*,front
i*,unrounded
ih,breathy
ih,voiced
ih,high
ih,front
ih,unrounded
o*,laryngealized
o*,higher
o*,mid
o*,back
o*,rounded
oh,breathy
oh,voiced
oh,higher
oh,mid
oh,back
oh,rounded
uh,breathy
uh,voiced
uh,high
uh,back
uh,rounded
