phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
a_:,long
a_:,low
a_:,back
a_:,unrounded
a_~,nasalized
a_~,low
a_~,back
a_~,unrounded
a_~:,long
a_~:,nasalized
a_~:,low
a_~:,back
a_~:,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
i~:,long
i~:,nasalized
i~:,high
i~:,front
i~:,unrounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
u~:,long
u~:,nasalized
u~:,high
u~:,back
u~:,rounded
