phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E),lower
E),mid
E),front
E),rounded
E)~,nasalized
E)~,lower
E)~,mid
E)~,front
E)~,rounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
O,lower
O,mid
O,back
O,rounded
a+,low
a+,front
a+,unrounded
a_),low
a_),back
a_),rounded
a_)~,nasalized
a_)~,low
a_)~,back
a_)~,rounded
aa~,nasalized
aa~,raised
aa~,low
aa~,front
aa~,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
o/,higher
o/,mid
o/,front
o/,rounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
o~,nasalized
o~,higher
o~,mid
o~,back
o~,rounded
u,high
u,back
u,rounded
y,high
y,front
y,rounded
