phoneme,feature
4,raised
4,low
4,central
4,unrounded
E,lower
E,mid
E,front
E,unrounded
E),lower
E),mid
E),front
E),rounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
I,lowered
I,high
I,front
I,unrounded
O,lower
O,mid
O,back
O,rounded
U,lowered
U,high
U,back
U,rounded
Y,lowered
Y,high
Y,front
Y,rounded
xx@,mid
xx@,central
xx@,unrounded
a:,long
a:,low
a:,central
a:,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
o/:,long
o/:,higher
o/:,mid
o/:,front
o/:,rounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
u:,long
u:,high
u:,back
u:,rounded
y:,long
y:,high
y:,front
y:,rounded
