phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E),lower
E),mid
E),front
E),rounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
xxo,mid
xxo,back
xxo,rounded
a,low
a,central
a,unrounded
aa~,nasalized
aa~,raised
aa~,low
aa~,front
aa~,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
i,high
i,front
i,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
u,high
u,back
u,rounded
uu,high
uu,back
uu,unrounded
uu~,nasalized
uu~,high
uu~,back
uu~,unrounded
u~,nasalized
u~,high
u~,back
u~,rounded
y,high
y,front
y,rounded
y~,nasalized
y~,high
y~,front
y~,rounded
