phoneme,feature
3,lower
3,mid
3,central
3,unrounded
3~,nasalized
3~,lower
3~,mid
3~,central
3~,unrounded
E,lower
E,mid
E,front
E,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
I,lowered
I,high
I,front
I,unrounded
I~,nasalized
I~,lowered
I~,high
I~,front
I~,unrounded
O,lower
O,mid
O,back
O,rounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
U,lowered
U,high
U,back
U,rounded
U~,nasalized
U~,lowered
U~,high
U~,back
U~,rounded
a:,long
a:,low
a:,central
a:,unrounded
aa:,long
aa:,raised
aa:,low
aa:,front
aa:,unrounded
a~:,long
a~:,nasalized
a~:,low
a~:,central
a~:,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
e~:,long
e~:,nasalized
e~:,higher
e~:,mid
e~:,front
e~:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i~:,long
i~:,nasalized
i~:,high
i~:,front
i~:,unrounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
o~:,long
o~:,nasalized
o~:,higher
o~:,mid
o~:,back
o~:,rounded
u:,long
u:,high
u:,back
u:,rounded
u~:,long
u~:,nasalized
u~:,high
u~:,back
u~:,rounded
