phoneme,feature
E,lower
E,mid
E,front
E,unrounded
a:,long
a:,low
a:,central
a:,unrounded
a_),low
a_),back
a_),rounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
o,higher
o,mid
o,back
o,rounded
o/,higher
o/,mid
o/,front
o/,rounded
o/:,long
o/:,higher
o/:,mid
o/:,front
o/:,rounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
y,high
y,front
y,rounded
y:,long
y:,high
y:,front
y:,rounded
