phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E),lower
E),mid
E),front
E),rounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
O,lower
O,mid
O,back
O,rounded
O:,long
O:,lower
O:,mid
O:,back
O:,rounded
aa,raised
aa,low
aa,front
aa,unrounded
aa:,long
aa:,raised
aa:,low
aa:,front
aa:,unrounded
e,higher
e,mid
e,front
e,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
o,higher
o,mid
o,back
o,rounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
y,high
y,front
y,rounded
