phoneme,feature
I,lowered
I,high
I,front
I,unrounded
I~,nasalized
I~,lowered
I~,high
I~,front
I~,unrounded
U,lowered
U,high
U,back
U,rounded
U~,nasalized
U~,lowered
U~,high
U~,back
U~,rounded
xxe,mid
xxe,front
xxe,unrounded
xxe~,nasalized
xxe~,mid
xxe~,front
xxe~,unrounded
xxo,mid
xxo,back
xxo,rounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
a,low
a,central
a,unrounded
a_:,long
a_:,low
a_:,back
a_:,unrounded
a_~:,long
a_~:,nasalized
a_~:,low
a_~:,back
a_~:,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
e~:,long
e~:,nasalized
e~:,higher
e~:,mid
e~:,front
e~:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i~:,long
i~:,nasalized
i~:,high
i~:,front
i~:,unrounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
o~:,long
o~:,nasalized
o~:,higher
o~:,mid
o~:,back
o~:,rounded
u:,long
u:,high
u:,back
u:,rounded
u~:,long
u~:,nasalized
u~:,high
u~:,back
u~:,rounded
