phoneme,feature
3,lower
3,mid
3,central
3,unrounded
3~,nasalized
3~,lower
3~,mid
3~,central
3~,unrounded
@,higher
@,mid
@,central
@,unrounded
@:,long
@:,higher
@:,mid
@:,central
@:,unrounded
@~:,long
@~:,nasalized
@~:,higher
@~:,mid
@~:,central
@~:,unrounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
E~:,long
E~:,nasalized
E~:,lower
E~:,mid
E~:,front
E~:,unrounded
O:,long
O:,lower
O:,mid
O:,back
O:,rounded
O~:,long
O~:,nasalized
O~:,lower
O~:,mid
O~:,back
O~:,rounded
a:,long
a:,low
a:,central
a:,unrounded
a_),low
a_),back
a_),rounded
a~,nasalized
a~,low
a~,central
a~,unrounded
a~:,long
a~:,nasalized
a~:,low
a~:,central
a~:,unrounded
e,higher
e,mid
e,front
e,unrounded
e~,nasalized
e~,higher
e~,mid
e~,front
e~,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i_,high
i_,central
i_,unrounded
i_:,long
i_:,high
i_:,central
i_:,unrounded
i_~:,long
i_~:,nasalized
i_~:,high
i_~:,central
i_~:,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
i~:,long
i~:,nasalized
i~:,high
i~:,front
i~:,unrounded
o,higher
o,mid
o,back
o,rounded
o~,nasalized
o~,higher
o~,mid
o~,back
o~,rounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
u~:,long
u~:,nasalized
u~:,high
u~:,back
u~:,rounded
