phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
I,lowered
I,high
I,front
I,unrounded
O,lower
O,mid
O,back
O,rounded
O:,long
O:,lower
O:,mid
O:,back
O:,rounded
U,lowered
U,high
U,back
U,rounded
xx@:,long
xx@:,mid
xx@:,central
xx@:,unrounded
a+,low
a+,front
a+,unrounded
a+:,long
a+:,low
a+:,front
a+:,unrounded
a_,low
a_,back
a_,unrounded
a_:,long
a_:,low
a_:,back
a_:,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
o(,higher
o(,mid
o(,back
o(,unrounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
u:,long
u:,high
u:,back
u:,rounded
uu,high
uu,back
uu,unrounded
uu:,long
uu:,high
uu:,back
uu:,unrounded
