phoneme,feature
3:,long
3:,lower
3:,mid
3:,central
3:,unrounded
@:,long
@:,higher
@:,mid
@:,central
@:,unrounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
O:,long
O:,lower
O:,mid
O:,back
O:,rounded
a,low
a,central
a,unrounded
a:,long
a:,low
a:,central
a:,unrounded
e,higher
e,mid
e,front
e,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i_:,long
i_:,high
i_:,central
i_:,unrounded
o,higher
o,mid
o,back
o,rounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
