phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
O,lower
O,mid
O,back
O,rounded
O~,nasalized
O~,lower
O~,mid
O~,back
O~,rounded
xxe,mid
xxe,front
xxe,unrounded
xxe~,nasalized
xxe~,mid
xxe~,front
xxe~,unrounded
xxo,mid
xxo,back
xxo,rounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
a,low
a,central
a,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
o,higher
o,mid
o,back
o,rounded
u,high
u,back
u,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
