phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
E~,nasalized
E~,lower
E~,mid
E~,front
E~,unrounded
E~:,long
E~:,nasalized
E~:,lower
E~:,mid
E~:,front
E~:,unrounded
O:,long
O:,lower
O:,mid
O:,back
O:,rounded
O~:,long
O~:,nasalized
O~:,lower
O~:,mid
O~:,back
O~:,rounded
a,low
a,central
a,unrounded
a:,long
a:,low
a:,central
a:,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
a~:,long
a~:,nasalized
a~:,low
a~:,central
a~:,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i~:,long
i~:,nasalized
i~:,high
i~:,front
i~:,unrounded
o~,nasalized
o~,higher
o~,mid
o~,back
o~,rounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
u~:,long
u~:,nasalized
u~:,high
u~:,back
u~:,rounded
