phoneme,feature
xx@,mid
xx@,central
xx@,unrounded
xx@~,nasalized
xx@~,mid
xx@~,central
xx@~,unrounded
xxe,mid
xxe,front
xxe,unrounded
xxo,mid
xxo,back
xxo,rounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
a,low
a,central
a,unrounded
a_,low
a_,back
a_,unrounded
a_~,nasalized
a_~,low
a_~,back
a_~,unrounded
aa,raised
aa,low
aa,front
aa,unrounded
aa~,nasalized
aa~,raised
aa~,low
aa~,front
aa~,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
i,high
i,front
i,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
u,high
u,back
u,rounded
u+,high
u+,central
u+,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
