phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E:,long
E:,lower
E:,mid
E:,front
E:,unrounded
O,lower
O,mid
O,back
O,rounded
O:,long
O:,lower
O:,mid
O:,back
O:,rounded
U,lowered
U,high
U,back
U,rounded
xx@,mid
xx@,central
xx@,unrounded
xxe:,long
xxe:,mid
xxe:,front
xxe:,unrounded
a,low
a,central
a,unrounded
a:,long
a:,low
a:,central
a:,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
o,higher
o,mid
o,back
o,rounded
o:,long
o:,higher
o:,mid
o:,back
o:,rounded
u:,long
u:,high
u:,back
u:,rounded
