phoneme,feature
4)_,raised
4)_,low
4)_,back
4)_,rounded
E),lower
E),mid
E),front
E),rounded
I,lowered
I,high
I,front
I,unrounded
U,lowered
U,high
U,back
U,rounded
Y,lowered
Y,high
Y,front
Y,rounded
xx@,mid
xx@,central
xx@,unrounded
xxe,mid
xxe,front
xxe,unrounded
xxo/:,long
xxo/:,mid
xxo/:,front
xxo/:,rounded
xxo:,long
xxo:,mid
xxo:,back
xxo:,rounded
a,low
a,central
a,unrounded
a_:,long
a_:,low
a_:,back
a_:,unrounded
aa,raised
aa,low
aa,front
aa,unrounded
aa:,long
aa:,raised
aa:,low
aa:,front
aa:,unrounded
e:,long
e:,higher
e:,mid
e:,front
e:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
u+,high
u+,central
u+,rounded
u+:,long
u+:,high
u+:,central
u+:,rounded
u:,long
u:,high
u:,back
u:,rounded
y:,long
y:,high
y:,front
y:,rounded
