phoneme,feature
E,lower
E,mid
E,front
E,unrounded
ES,overshort
ES,lower
ES,mid
ES,front
ES,unrounded
O,lower
O,mid
O,back
O,rounded
OS,overshort
OS,lower
OS,mid
OS,back
OS,rounded
xx@,mid
xx@,central
xx@,unrounded
a,low
a,central
a,unrounded
aS,overshort
aS,low
aS,central
aS,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
iS,overshort
iS,high
iS,front
iS,unrounded
i_,high
i_,central
i_,unrounded
i_S,overshort
i_S,high
i_S,central
i_S,unrounded
oS,higher
oS,mid
oS,back
oS,rounded
u,high
u,back
u,rounded
uS,overshort
uS,high
uS,back
uS,rounded
