phoneme,feature
4)S,overshort
4)S,raised
4)S,low
4)S,central
4)S,rounded
4S,overshort
4S,raised
4S,low
4S,central
4S,unrounded
O,lower
O,mid
O,back
O,rounded
xx@)S,overshort
xx@)S,mid
xx@)S,central
xx@)S,rounded
xx@S,overshort
xx@S,mid
xx@S,central
xx@S,unrounded
a,low
a,central
a,unrounded
e,higher
e,mid
e,front
e,unrounded
i,high
i,front
i,unrounded
i_S,overshort
i_S,high
i_S,central
i_S,unrounded
o,higher
o,mid
o,back
o,rounded
u,high
u,back
u,rounded
u+S,overshort
u+S,high
u+S,central
u+S,rounded
