phoneme,feature
E,lower
E,mid
E,front
E,unrounded
E*,laryngealized
E*,lower
E*,mid
E*,front
E*,unrounded
O,lower
O,mid
O,back
O,rounded
O*,laryngealized
O*,lower
O*,mid
O*,back
O*,rounded
a,low
a,central
a,unrounded
a*,laryngealized
a*,low
a*,central
a*,unrounded
e,higher
e,mid
e,front
e,unrounded
e*,laryngealized
e*,higher
e*,mid
e*,front
e*,unrounded
i,high
i,front
i,unrounded
i*,laryngealized
i*,high
i*,front
i*,unrounded
o,higher
o,mid
o,back
o,rounded
o*,laryngealized
o*,higher
o*,mid
o*,back
o*,rounded
u,high
u,back
u,rounded
u*,laryngealized
u*,high
u*,back
u*,rounded
