phoneme,feature
xxe,mid
xxe,front
xxe,unrounded
xxe:,long
xxe:,mid
xxe:,front
xxe:,unrounded
xxo,mid
xxo,back
xxo,rounded
xxo(,mid
xxo(,back
xxo(,unrounded
xxo(:,long
xxo(:,mid
xxo(:,back
xxo(:,unrounded
xxo/:,long
xxo/:,mid
xxo/:,front
xxo/:,rounded
xxo:,long
xxo:,mid
xxo:,back
xxo:,rounded
a,low
a,central
a,unrounded
a+,low
a+,front
a+,unrounded
a+:,long
a+:,low
a+:,front
a+:,unrounded
a:,long
a:,low
a:,central
a:,unrounded
i:,long
i:,high
i:,front
i:,unrounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
y,high
y,front
y,rounded
y:,long
y:,high
y:,front
y:,rounded
