phoneme,feature
a,low
a,central
a,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
e,higher
e,mid
e,front
e,unrounded
e~,nasalized
e~,higher
e~,mid
e~,front
e~,unrounded
i,high
i,front
i,unrounded
i-,high
i-,front
i-,unrounded
i-,with
i-,velar
i-,stricture
i~,nasalized
i~,high
i~,front
i~,unrounded
i~-,nasalized
i~-,high
i~-,front
i~-,unrounded
i~-,with
i~-,velar
i~-,stricture
o,higher
o,mid
o,back
o,rounded
o~,nasalized
o~,higher
o~,mid
o~,back
o~,rounded
u,high
u,back
u,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
