phoneme,feature
xxe,mid
xxe,front
xxe,unrounded
xxe*,laryngealized
xxe*,mid
xxe*,front
xxe*,unrounded
xxe~,nasalized
xxe~,mid
xxe~,front
xxe~,unrounded
xxe~*,laryngealized
xxe~*,nasalized
xxe~*,mid
xxe~*,front
xxe~*,unrounded
xxo,mid
xxo,back
xxo,rounded
xxo*,laryngealized
xxo*,mid
xxo*,back
xxo*,rounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
xxo~*,laryngealized
xxo~*,nasalized
xxo~*,mid
xxo~*,back
xxo~*,rounded
a,low
a,central
a,unrounded
a*,laryngealized
a*,low
a*,central
a*,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
a~*,laryngealized
a~*,nasalized
a~*,low
a~*,central
a~*,unrounded
i,high
i,front
i,unrounded
i*,laryngealized
i*,high
i*,front
i*,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
i~*,laryngealized
i~*,nasalized
i~*,high
i~*,front
i~*,unrounded
u,high
u,back
u,rounded
u*,laryngealized
u*,high
u*,back
u*,rounded
