phoneme,feature
O9~:,long
O9~:,nasalized
O9~:,pharyngealized
O9~:,lower
O9~:,mid
O9~:,back
O9~:,rounded
xxe,mid
xxe,front
xxe,unrounded
xxe:,long
xxe:,mid
xxe:,front
xxe:,unrounded
xxo,mid
xxo,back
xxo,rounded
xxo9,pharyngealized
xxo9,mid
xxo9,back
xxo9,rounded
xxo9:,long
xxo9:,pharyngealized
xxo9:,mid
xxo9:,back
xxo9:,rounded
xxo9~,nasalized
xxo9~,pharyngealized
xxo9~,mid
xxo9~,back
xxo9~,rounded
xxo:,long
xxo:,mid
xxo:,back
xxo:,rounded
xxo~,nasalized
xxo~,mid
xxo~,back
xxo~,rounded
a,low
a,central
a,unrounded
a9,pharyngealized
a9,low
a9,central
a9,unrounded
a9:,long
a9:,pharyngealized
a9:,low
a9:,central
a9:,unrounded
a9~,nasalized
a9~,pharyngealized
a9~,low
a9~,central
a9~,unrounded
a9~:,long
a9~:,nasalized
a9~:,pharyngealized
a9~:,low
a9~:,central
a9~:,unrounded
a:,long
a:,low
a:,central
a:,unrounded
a~,nasalized
a~,low
a~,central
a~,unrounded
a~:,long
a~:,nasalized
a~:,low
a~:,central
a~:,unrounded
i,high
i,front
i,unrounded
i:,long
i:,high
i:,front
i:,unrounded
i~,nasalized
i~,high
i~,front
i~,unrounded
u,high
u,back
u,rounded
u:,long
u:,high
u:,back
u:,rounded
u~,nasalized
u~,high
u~,back
u~,rounded
u~:,long
u~:,nasalized
u~:,high
u~:,back
u~:,rounded
